cliente_id,channel_id,region
1688182213,1625004744,CENTRAL
1852679943,1625004744,CENTRAL
1375355487,1625004744,CENTRAL
1487423960,870267989,CENTRAL
-785147524,1625004744,CENTRAL
198058139,1625004744,CENTRAL
-1311895048,1625004744,CENTRAL
-525259772,1625004744,CENTRAL
1315042307,870267989,COSTA ATLANTICA
-711250402,541481139,CENTRAL
-767114815,1625004744,CENTRAL
-63872899,1625004744,CENTRAL
-1269411701,1625004744,CENTRAL
-48389757,1625004744,CENTRAL
1350976264,1625004744,CENTRAL
1505012429,1625004744,CENTRAL
-909506114,870267989,CENTRAL
-1811302567,1625004744,CENTRAL
-378041242,870267989,CENTRAL
492990991,1625004744,CENTRAL
1158108638,1625004744,CENTRAL
-861036677,1625004744,CENTRAL
-864000088,870267989,CENTRAL
1155947031,1625004744,CENTRAL
-351075113,1625004744,CENTRAL
681964612,1625004744,CENTRAL
1084954706,870267989,CENTRAL
966270174,870267989,CENTRAL
-798511883,1625004744,CENTRAL
-1211765184,1625004744,CENTRAL
734733804,1625004744,CENTRAL
1265104805,541481139,CENTRAL
-1551067078,1970338662,CENTRAL
1566342097,870267989,CENTRAL
-2082555882,1759010777,CENTRAL
1491606191,1625004744,GBA MINORISTAS
-1694173122,651275377,GBA MINORISTAS
-1794659626,-1756013582,LITORAL
70674801,1625004744,COSTA ATLANTICA
-1549889877,1625004744,GBA MINORISTAS
-1144686455,1759010777,GBA MINORISTAS
1992203129,870267989,GBA MINORISTAS
-1136648673,1625004744,CENTRAL
1668751854,1759010777,GBA MINORISTAS
-1896769756,1625004744,CENTRAL
-638765931,870267989,LITORAL
1465265892,870267989,GBA MINORISTAS
-582803678,870267989,LITORAL
-1898406675,1625004744,GBA MINORISTAS
31574199,870267989,GBA MINORISTAS
-553329783,870267989,GBA MINORISTAS
-2117854560,-2071733625,GBA MINORISTAS
1286826873,1625004744,CENTRAL
-462438536,1059805429,COSTA ATLANTICA
1298187608,1625004744,NOA
-818157713,1625004744,NOA
-359473177,1625004744,NOA
-1249308291,1759010777,GBA MINORISTAS
441141108,1625004744,LITORAL
-1373822072,870267989,GBA MINORISTAS
1151577173,870267989,GBA MINORISTAS
-1523233775,1759010777,GBA MINORISTAS
-1727112460,870267989,GBA MINORISTAS
338106065,870267989,GBA MINORISTAS
1106356436,870267989,GBA MINORISTAS
-111653440,-635186254,GBA MINORISTAS
441818392,-635186254,CENTRAL
1406224476,870267989,LITORAL
-1133674158,870267989,GBA MINORISTAS
-626311022,1625004744,NOA
570670413,1625004744,GBA MINORISTAS
1324025428,1625004744,GBA MINORISTAS
153122329,1625004744,GBA MINORISTAS
-1624358211,541481139,GBA MINORISTAS
1413983199,1625004744,GBA MINORISTAS
1465841173,541481139,CENTRAL
-705027342,-1756013582,LITORAL
-440047612,1625004744,NOA
1512946694,1625004744,CENTRAL
44362747,870267989,LITORAL
487109220,1625004744,LITORAL
-1483335314,1625004744,GBA MINORISTAS
-1190168776,1625004744,GBA MINORISTAS
-342613087,1625004744,GBA MINORISTAS
363407523,1625004744,GBA MINORISTAS
1931756641,651275377,GBA MINORISTAS
527745241,870267989,GBA MINORISTAS
-91364262,1059805429,GBA MINORISTAS
1855906916,651275377,GBA MINORISTAS
-52158285,1625004744,CENTRAL
1553703539,1759010777,LITORAL
889846306,1625004744,GBA MINORISTAS
1052884404,1759010777,GBA MINORISTAS
-1230785087,870267989,GBA MINORISTAS
340363338,1759010777,GBA MINORISTAS
-1938640196,1625004744,GBA MINORISTAS
-283115971,870267989,GBA MINORISTAS
2067389891,870267989,LITORAL
1520653092,870267989,GBA MINORISTAS
1043658235,1759010777,GBA MINORISTAS
2074540838,1759010777,GBA MINORISTAS
1494278631,1625004744,NOA
-175620298,870267989,LITORAL
-1148737427,870267989,GBA MINORISTAS
917778901,870267989,GBA MINORISTAS
-87147720,870267989,GBA MINORISTAS
-181739689,1625004744,GBA MINORISTAS
-1047739750,1625004744,GBA MINORISTAS
1644846901,1625004744,GBA MINORISTAS
1975790668,870267989,GBA MINORISTAS
34439065,1625004744,GBA MINORISTAS
-1547640748,870267989,GBA MINORISTAS
-344182938,1625004744,GBA MINORISTAS
-1696977608,870267989,GBA MINORISTAS
-1360323856,870267989,GBA MINORISTAS
358349864,870267989,GBA MINORISTAS
193387088,1625004744,LITORAL
-1999248244,870267989,GBA MINORISTAS
-1639922074,1759010777,GBA MINORISTAS
-429313961,870267989,GBA MINORISTAS
318329396,541481139,GBA MINORISTAS
810480762,1625004744,GBA MINORISTAS
-1383566094,1625004744,CENTRAL
-637685239,1759010777,GBA MINORISTAS
1764256933,1625004744,GBA MINORISTAS
-1109962153,1625004744,LITORAL
548131671,-483404947,GBA MINORISTAS
-725819237,541481139,GBA MINORISTAS
-12320770,870267989,GBA MINORISTAS
1939398361,541481139,GBA MINORISTAS
-353572156,1759010777,GBA MINORISTAS
